Model,Metric,Score,Moving Window (m),Type
47-MM-log,MAD,1.2808,47,MM-log
47-MM-log,RMSE,1.777,47,MM-log
47-MM-sqrt,MAPE,0.027,47,MM-sqrt
47-MM-sqrt,MAD,1.2792,47,MM-sqrt
47-MM-sqrt,RMSE,1.7751,47,MM-sqrt
48-MA,MAPE,0.0601,48,MA
48-MA,MAD,2.7968,48,MA
48-MA,RMSE,3.403,48,MA
48-MA-log,MAPE,0.0697,48,MA-log
48-MA-log,MAD,3.2433,48,MA-log
48-MA-log,RMSE,3.9436,48,MA-log
48-MA-sqrt,MAPE,0.0649,48,MA-sqrt
48-MA-sqrt,MAD,3.0188,48,MA-sqrt
48-MA-sqrt,RMSE,3.6671,48,MA-sqrt
48-MM,MAPE,0.0266,48,MM
48-MM,MAD,1.2637,48,MM
48-MM,RMSE,1.7751,48,MM
48-MM-log,MAPE,0.0267,48,MM-log
48-MM-log,MAD,1.265,48,MM-log
48-MM-log,RMSE,1.7766,48,MM-log
48-MM-sqrt,MAPE,0.0266,48,MM-sqrt
48-MM-sqrt,MAD,1.2636,48,MM-sqrt
48-MM-sqrt,RMSE,1.7751,48,MM-sqrt
49-MA,MAPE,0.0495,49,MA
49-MA,MAD,2.3054,49,MA
49-MA,RMSE,2.8328,49,MA
49-MA-log,MAPE,0.0558,49,MA-log
49-MA-log,MAD,2.5973,49,MA-log
49-MA-log,RMSE,3.1787,49,MA-log
49-MA-sqrt,MAPE,0.0526,49,MA-sqrt
49-MA-sqrt,MAD,2.4502,49,MA-sqrt
49-MA-sqrt,RMSE,3.0041,49,MA-sqrt
49-MM,MAPE,0.027,49,MM
49-MM,MAD,1.2804,49,MM
49-MM,RMSE,1.8052,49,MM
49-MM-log,MAPE,0.027,49,MM-log
49-MM-log,MAD,1.2816,49,MM-log
49-MM-log,RMSE,1.8065,49,MM-log
49-MM-sqrt,MAPE,0.027,49,MM-sqrt
49-MM-sqrt,MAD,1.2804,49,MM-sqrt
49-MM-sqrt,RMSE,1.8052,49,MM-sqrt
50-MA,MAPE,0.0476,50,MA
50-MA,MAD,2.2186,50,MA
50-MA,RMSE,2.7314,50,MA
50-MA-log,MAPE,0.0533,50,MA-log
50-MA-log,MAD,2.4846,50,MA-log
50-MA-log,RMSE,3.0445,50,MA-log
50-MA-sqrt,MAPE,0.0505,50,MA-sqrt
50-MA-sqrt,MAD,2.3514,50,MA-sqrt
50-MA-sqrt,RMSE,2.8863,50,MA-sqrt
50-MM,MAPE,0.0395,50,MM
50-MM,MAD,1.8452,50,MM
50-MM,RMSE,2.2816,50,MM
50-MM-log,MAPE,0.0403,50,MM-log
50-MM-log,MAD,1.8838,50,MM-log
50-MM-log,RMSE,2.327,50,MM-log
50-MM-sqrt,MAPE,0.0398,50,MM-sqrt
50-MM-sqrt,MAD,1.8626,50,MM-sqrt
50-MM-sqrt,RMSE,2.301,50,MM-sqrt
51-MA,MAPE,0.0344,51,MA
51-MA,MAD,1.6112,51,MA
51-MA,RMSE,2.0306,51,MA
51-MA-log,MAPE,0.0361,51,MA-log
51-MA-log,MAD,1.6892,51,MA-log
51-MA-log,RMSE,2.1149,51,MA-log
51-MA-sqrt,MAPE,0.0353,51,MA-sqrt
51-MA-sqrt,MAD,1.6516,51,MA-sqrt
51-MA-sqrt,RMSE,2.0723,51,MA-sqrt
51-MM,MAPE,0.0658,51,MM
51-MM,MAD,3.0627,51,MM
51-MM,RMSE,3.7345,51,MM
51-MM-log,MAPE,0.0693,51,MM-log
51-MM-log,MAD,3.2258,51,MM-log
51-MM-log,RMSE,3.9424,51,MM-log
51-MM-sqrt,MAPE,0.0674,51,MM-sqrt
51-MM-sqrt,MAD,3.1393,51,MM-sqrt
51-MM-sqrt,RMSE,3.831,51,MM-sqrt
52-MA,MAPE,0.0465,52,MA
52-MA,MAD,2.1675,52,MA
52-MA,RMSE,2.6591,52,MA
52-MA-log,MAPE,0.0516,52,MA-log
52-MA-log,MAD,2.4028,52,MA-log
52-MA-log,RMSE,2.9539,52,MA-log
52-MA-sqrt,MAPE,0.0489,52,MA-sqrt
52-MA-sqrt,MAD,2.2797,52,MA-sqrt
52-MA-sqrt,RMSE,2.8042,52,MA-sqrt
52-MM,MAPE,0.039,52,MM
52-MM,MAD,1.8216,52,MM
52-MM,RMSE,2.2483,52,MM
52-MM-log,MAPE,0.0397,52,MM-log
52-MM-log,MAD,1.8579,52,MM-log
52-MM-log,RMSE,2.2901,52,MM-log
52-MM-sqrt,MAPE,0.0393,52,MM-sqrt
52-MM-sqrt,MAD,1.8382,52,MM-sqrt
52-MM-sqrt,RMSE,2.2665,52,MM-sqrt
