Model,Metric,Score,Smoothing Constant (w)
Exponential Smoothing-sqrt,RMSE,6.2992,0.11
Exponential Smoothing,MAPE,0.0623,0.12
Exponential Smoothing,MAD,3.3802,0.12
Exponential Smoothing,RMSE,6.309,0.12
Exponential Smoothing-log,MAPE,0.0627,0.12
Exponential Smoothing-log,MAD,3.4023,0.12
Exponential Smoothing-log,RMSE,6.327,0.12
Exponential Smoothing-sqrt,MAPE,0.0625,0.12
Exponential Smoothing-sqrt,MAD,3.3914,0.12
Exponential Smoothing-sqrt,RMSE,6.3181,0.12
Exponential Smoothing,MAPE,0.0627,0.13
Exponential Smoothing,MAD,3.4021,0.13
Exponential Smoothing,RMSE,6.3268,0.13
Exponential Smoothing-log,MAPE,0.0631,0.13
Exponential Smoothing-log,MAD,3.4227,0.13
Exponential Smoothing-log,RMSE,6.3438,0.13
Exponential Smoothing-sqrt,MAPE,0.0629,0.13
Exponential Smoothing-sqrt,MAD,3.4125,0.13
Exponential Smoothing-sqrt,RMSE,6.3353,0.13
Exponential Smoothing,MAPE,0.0631,0.14
Exponential Smoothing,MAD,3.4217,0.14
Exponential Smoothing,RMSE,6.343,0.14
Exponential Smoothing-log,MAPE,0.0635,0.14
Exponential Smoothing-log,MAD,3.4414,0.14
Exponential Smoothing-log,RMSE,6.3593,0.14
Exponential Smoothing-sqrt,MAPE,0.0633,0.14
Exponential Smoothing-sqrt,MAD,3.4316,0.14
Exponential Smoothing-sqrt,RMSE,6.3511,0.14
Exponential Smoothing,MAPE,0.0635,0.15
Exponential Smoothing,MAD,3.4394,0.15
Exponential Smoothing,RMSE,6.3577,0.15
Exponential Smoothing-log,MAPE,0.0638,0.15
Exponential Smoothing-log,MAD,3.4589,0.15
Exponential Smoothing-log,RMSE,6.3736,0.15
Exponential Smoothing-sqrt,MAPE,0.0636,0.15
Exponential Smoothing-sqrt,MAD,3.4489,0.15
Exponential Smoothing-sqrt,RMSE,6.3656,0.15
Exponential Smoothing,MAPE,0.0638,0.16
Exponential Smoothing,MAD,3.4557,0.16
Exponential Smoothing,RMSE,6.3711,0.16
Exponential Smoothing-log,MAPE,0.0642,0.16
Exponential Smoothing-log,MAD,3.4755,0.16
Exponential Smoothing-log,RMSE,6.3867,0.16
Exponential Smoothing-sqrt,MAPE,0.064,0.16
Exponential Smoothing-sqrt,MAD,3.4656,0.16
Exponential Smoothing-sqrt,RMSE,6.3789,0.16
Exponential Smoothing,MAPE,0.0641,0.17
Exponential Smoothing,MAD,3.471,0.17
Exponential Smoothing,RMSE,6.3832,0.17
Exponential Smoothing-log,MAPE,0.0644,0.17
Exponential Smoothing-log,MAD,3.4904,0.17
Exponential Smoothing-log,RMSE,6.3986,0.17
Exponential Smoothing-sqrt,MAPE,0.0643,0.17
Exponential Smoothing-sqrt,MAD,3.4807,0.17
Exponential Smoothing-sqrt,RMSE,6.3909,0.17
Exponential Smoothing,MAPE,0.0643,0.18
Exponential Smoothing,MAD,3.4847,0.18
Exponential Smoothing,RMSE,6.3941,0.18
Exponential Smoothing-log,MAPE,0.0647,0.18
Exponential Smoothing-log,MAD,3.5037,0.18
Exponential Smoothing-log,RMSE,6.4093,0.18
Exponential Smoothing-sqrt,MAPE,0.0645,0.18
Exponential Smoothing-sqrt,MAD,3.4942,0.18
Exponential Smoothing-sqrt,RMSE,6.4017,0.18
Exponential Smoothing,MAPE,0.0646,0.19
Exponential Smoothing,MAD,3.4969,0.19
Exponential Smoothing,RMSE,6.4038,0.19
Exponential Smoothing-log,MAPE,0.0649,0.19
Exponential Smoothing-log,MAD,3.5155,0.19
Exponential Smoothing-log,RMSE,6.4189,0.19
Exponential Smoothing-sqrt,MAPE,0.0648,0.19
Exponential Smoothing-sqrt,MAD,3.5062,0.19
Exponential Smoothing-sqrt,RMSE,6.4113,0.19
Exponential Smoothing,MAPE,0.0648,0.2
Exponential Smoothing,MAD,3.5075,0.2
Exponential Smoothing,RMSE,6.4123,0.2
Exponential Smoothing-log,MAPE,0.0651,0.2
Exponential Smoothing-log,MAD,3.5259,0.2
Exponential Smoothing-log,RMSE,6.4273,0.2
Exponential Smoothing-sqrt,MAPE,0.065,0.2
Exponential Smoothing-sqrt,MAD,3.5167,0.2
Exponential Smoothing-sqrt,RMSE,6.4198,0.2
Exponential Smoothing,MAPE,0.065,0.21
Exponential Smoothing,MAD,3.5167,0.21
Exponential Smoothing,RMSE,6.4198,0.21
Exponential Smoothing-log,MAPE,0.0653,0.21
Exponential Smoothing-log,MAD,3.535,0.21
Exponential Smoothing-log,RMSE,6.4346,0.21
Exponential Smoothing-sqrt,MAPE,0.0651,0.21
Exponential Smoothing-sqrt,MAD,3.5257,0.21
Exponential Smoothing-sqrt,RMSE,6.4272,0.21
Exponential Smoothing,MAPE,0.0651,0.22
Exponential Smoothing,MAD,3.5245,0.22
Exponential Smoothing,RMSE,6.4262,0.22
Exponential Smoothing-log,MAPE,0.0655,0.22
Exponential Smoothing-log,MAD,3.5431,0.22
Exponential Smoothing-log,RMSE,6.4409,0.22
Exponential Smoothing-sqrt,MAPE,0.0653,0.22
Exponential Smoothing-sqrt,MAD,3.5335,0.22
Exponential Smoothing-sqrt,RMSE,6.4335,0.22
Exponential Smoothing,MAPE,0.0652,0.23
Exponential Smoothing,MAD,3.5311,0.23
Exponential Smoothing,RMSE,6.4315,0.23
Exponential Smoothing-log,MAPE,0.0656,0.23
Exponential Smoothing-log,MAD,3.5498,0.23
Exponential Smoothing-log,RMSE,6.4461,0.23
Exponential Smoothing-sqrt,MAPE,0.0654,0.23
Exponential Smoothing-sqrt,MAD,3.5404,0.23
Exponential Smoothing-sqrt,RMSE,6.4388,0.23
Exponential Smoothing,MAPE,0.0653,0.24
Exponential Smoothing,MAD,3.5366,0.24
Exponential Smoothing,RMSE,6.4359,0.24
Exponential Smoothing-log,MAPE,0.0657,0.24
Exponential Smoothing-log,MAD,3.5553,0.24
Exponential Smoothing-log,RMSE,6.4503,0.24
Exponential Smoothing-sqrt,MAPE,0.0655,0.24
Exponential Smoothing-sqrt,MAD,3.546,0.24
Exponential Smoothing-sqrt,RMSE,6.4431,0.24
Exponential Smoothing,MAPE,0.0654,0.25
Exponential Smoothing,MAD,3.5411,0.25
Exponential Smoothing,RMSE,6.4393,0.25
Exponential Smoothing-log,MAPE,0.0658,0.25
Exponential Smoothing-log,MAD,3.5595,0.25
Exponential Smoothing-log,RMSE,6.4536,0.25
Exponential Smoothing-sqrt,MAPE,0.0656,0.25
Exponential Smoothing-sqrt,MAD,3.5503,0.25
Exponential Smoothing-sqrt,RMSE,6.4464,0.25
Exponential Smoothing,MAPE,0.0655,0.26
Exponential Smoothing,MAD,3.5444,0.26
Exponential Smoothing,RMSE,6.4419,0.26
Exponential Smoothing-log,MAPE,0.0659,0.26
Exponential Smoothing-log,MAD,3.5626,0.26
Exponential Smoothing-log,RMSE,6.4559,0.26
Exponential Smoothing-sqrt,MAPE,0.0657,0.26
Exponential Smoothing-sqrt,MAD,3.5535,0.26
